health science,creative expression,technology,people,organization,influence,nature,things
3.25,2.75,2.4375,2.1,1.8,2.9375,4.083333333,3.583333333
3.416666667,2.714285714,3,3.55,3.1,3.375,3.833333333,3.708333333
3.75,3.535714286,3.5625,3.6,3.75,3.34375,3.833333333,3.375
3.916666667,4.821428571,3.9375,3.8,3.55,2.6875,4.083333333,4.416666667
2.166666667,2.178571429,1.75,2.2,2.1,2,2.166666667,1.666666667
3.083333333,3.035714286,2.6875,2.85,2.05,2.5,4,2.833333333
3.083333333,4.178571429,2,4.15,3.25,3.625,3.333333333,2.541666667
2.583333333,3.321428571,2.875,4.25,3.75,3.5625,4,3.125
3.666666667,4.071428571,3.625,3.9,2.45,4,4.583333333,4.333333333
3.083333333,3.357142857,3,3.95,3.15,3.15625,3.083333333,3.083333333
1.75,1.5,3.1875,2.05,2.95,2.4375,3.333333333,3.416666667
2.5,3.428571429,3.0625,3.35,3.35,2.59375,2.75,3.416666667
3.333333333,3.535714286,2.5625,3.1,1.9,2.1875,3.583333333,3.166666667
1.666666667,1.178571429,1.125,2,2.2,1.75,2.166666667,1.666666667
1.583333333,2.571428571,2,2.25,2.8,2.1875,2.416666667,3.333333333
1,1.607142857,1.25,1.7,1,1.0625,3.833333333,2.541666667
2.416666667,2.892857143,2,2.65,2.4,3.4375,3.083333333,2
3.166666667,3.678571429,3.0625,2.95,3.2,3.59375,3.5,3.166666667
4.5,2.428571429,1.6875,3.9,3.25,1.75,4.333333333,2.25
3.333333333,2.5,2.5625,3.4,2.7,1.84375,3.75,2.208333333
2.5,2.892857143,3.1875,2.7,3.3,2.8125,3.666666667,3.5
3,3.25,3,3.25,3.35,3.09375,2.75,3.541666667
4.416666667,3.5,4.375,4.4,3.9,4.40625,4.5,3.916666667
4.333333333,4.5,4.375,4.2,4.35,3.90625,4.083333333,4.208333333
2.583333333,4.392857143,2.8125,4.35,1.45,2.5,4.833333333,3.708333333
4.416666667,4.428571429,4.1875,4.25,4.05,3.9375,4.5,3.958333333
3.916666667,3.357142857,2.6875,2.5,2.25,3.25,2.75,2.791666667
